Segment name,Display,Gmail,Discovery,Search,Shopping,Video
/Sports & Fitness/Sports Fans/Cricket Enthusiasts,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Cycling Enthusiasts,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Fight & Wrestling Fans,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Golf Enthusiasts,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Hockey Fans,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Motor Sports Enthusiasts,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Racquetball Enthusiasts,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Rugby Enthusiasts,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Running Enthusiasts,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Skiing Enthusiasts,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Soccer Fans,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Swimming Enthusiasts,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Tennis Enthusiasts,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Water Sports Enthusiasts,YES,YES,YES,YES,NO,YES
/Sports & Fitness/Sports Fans/Winter Sports Enthusiasts,YES,YES,YES,YES,NO,YES
/Technology,YES,YES,YES,YES,NO,YES
/Technology/Mobile Enthusiasts,YES,YES,YES,YES,NO,YES
/Technology/Social Media Enthusiasts,YES,YES,YES,YES,NO,YES
/Technology/Technophiles,YES,YES,YES,YES,NO,YES
/Technology/Technophiles/Audiophiles,NO,YES,NO,YES,NO,YES
/Technology/Technophiles/Cloud Services Power Users,YES,YES,NO,YES,NO,YES
/Technology/Technophiles/High-End Computer Aficionados,YES,YES,NO,YES,NO,YES
/Technology/Technophiles/Home Automation Enthusiasts,YES,YES,NO,YES,NO,YES
/Travel,YES,YES,YES,YES,NO,YES
/Travel/Business Travelers,YES,YES,NO,YES,NO,NO
/Travel/Travel Buffs,YES,YES,YES,YES,NO,YES
/Travel/Travel Buffs/Beachbound Travelers,YES,YES,YES,YES,NO,YES
/Travel/Travel Buffs/Family Vacationers,YES,YES,YES,YES,NO,YES
/Travel/Travel Buffs/Luxury Travelers,YES,YES,YES,YES,NO,YES
/Travel/Travel Buffs/SNOwbound Travelers,YES,YES,YES,YES,NO,YES
/Vehicles & Transportation,YES,YES,YES,YES,NO,YES
/Vehicles & Transportation/Auto Enthusiasts,YES,YES,YES,YES,NO,YES
/Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,YES,YES,YES,YES,NO,YES
/Vehicles & Transportation/Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts,YES,YES,YES,YES,NO,YES
/Vehicles & Transportation/Auto Enthusiasts/Truck & SUV Enthusiasts,YES,YES,YES,YES,NO,YES
/Vehicles & Transportation/Transportation Modes,YES,YES,NO,YES,NO,YES
/Vehicles & Transportation/Transportation Modes/Public Transit Users,YES,YES,NO,YES,NO,YES
/Vehicles & Transportation/Transportation Modes/Taxi Service Users,YES,YES,NO,YES,NO,YES
