CategoryID,Segment name,Display,Gmail,Discovery,Search,Shopping,Video
80012,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Hybrid & Alternative Vehicles,YES,YES,YES,YES,NO,YES
80178,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Hybrid & Alternative Vehicles/Hybrid & Alternative Vehicles (New),YES,YES,YES,YES,NO,YES
80117,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Hybrid & Alternative Vehicles/Hybrid & Alternative Vehicles (Used),YES,YES,YES,YES,NO,YES
80106,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Luxury Vehicles,YES,YES,YES,YES,NO,YES
80179,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Luxury Vehicles/Luxury Vehicles (New),YES,YES,YES,YES,NO,YES
80118,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Luxury Vehicles/Luxury Vehicles (Used),YES,YES,YES,YES,NO,YES
80079,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Microcars & Subcompacts,YES,YES,YES,YES,NO,YES
80180,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Microcars & Subcompacts/Microcars & Subcompacts (New),YES,YES,YES,YES,NO,YES
80119,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Microcars & Subcompacts/Microcars & Subcompacts (Used),YES,YES,YES,YES,NO,YES
80006,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Motorcycles,YES,YES,YES,YES,NO,YES
80181,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Motorcycles/Motorcycles (New),YES,YES,YES,YES,NO,YES
80120,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Motorcycles/Motorcycles (Used),YES,YES,YES,YES,NO,YES
80004,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Off-Road Vehicles,YES,YES,YES,YES,NO,YES
80182,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Off-Road Vehicles/Off-Road Vehicles (New),YES,YES,YES,YES,NO,YES
80190,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Off-Road Vehicles/Off-Road Vehicles (Used),YES,YES,YES,YES,NO,YES
80050,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Pickup Trucks,YES,YES,YES,YES,NO,YES
80187,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Pickup Trucks/Pickup Trucks (New),YES,YES,YES,YES,NO,YES
80127,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Pickup Trucks/Pickup Trucks (Used),YES,YES,YES,YES,NO,YES
80051,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/SUVs,YES,YES,YES,YES,NO,YES
80188,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/SUVs/SUVs (New),YES,YES,YES,YES,NO,YES
80128,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/SUVs/SUVs (Used),YES,YES,YES,YES,NO,YES
80068,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds,YES,YES,YES,YES,NO,YES
80183,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds/Scooters & Mopeds (New),YES,YES,YES,YES,NO,YES
80121,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Scooters & Mopeds/Scooters & Mopeds (Used),YES,YES,YES,YES,NO,YES
80107,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Sedans,YES,YES,YES,YES,NO,YES
80184,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Sedans/Sedans (New),YES,YES,YES,YES,NO,YES
80122,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Sedans/Sedans (Used),YES,YES,YES,YES,NO,YES
80108,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Sports Cars,YES,YES,YES,YES,NO,YES
80185,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Sports Cars/Sports Cars (New),YES,YES,YES,YES,NO,YES
80123,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Sports Cars/Sports Cars (Used),YES,YES,YES,YES,NO,YES
80109,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Station Wagons,YES,YES,YES,YES,NO,YES
80186,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Station Wagons/Station Wagons (New),YES,YES,YES,YES,NO,YES
80124,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Station Wagons/Station Wagons (Used),YES,YES,YES,YES,NO,YES
80052,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Vans & Minivans,YES,YES,YES,YES,NO,YES
80189,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Vans & Minivans/Vans & Minivans (New),YES,YES,YES,YES,NO,YES
80129,/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Vans & Minivans/Vans & Minivans (Used),YES,YES,YES,YES,NO,YES
80169,/Autos & Vehicles/Vehicles (Other),YES,YES,YES,YES,NO,YES
80067,/Autos & Vehicles/Vehicles (Other)/Bicycles & Accessories,YES,YES,YES,YES,NO,YES
